,actuals,predictions
287,33.0,21.358002
288,33.0,22.135124
289,33.0,21.136902
290,33.0,20.902792
291,33.0,20.961773
292,33.0,21.143417
293,33.0,21.28166
294,33.0,22.214493
295,33.0,21.134716
296,33.0,20.866848
297,33.0,20.924139
298,33.0,21.073769
299,33.0,21.1583
300,33.0,22.23158
301,33.0,21.084795
302,33.0,20.797226
303,33.0,20.845398
304,33.0,20.943628
305,33.0,21.012455
306,33.0,22.263512
307,33.0,21.010202
308,33.0,20.662
309,33.0,20.664314
310,33.0,20.750751
311,33.0,20.871593
312,33.0,22.159176
313,33.0,20.879677
314,33.0,20.505444
315,33.0,20.501064
316,33.0,20.632277
317,33.0,20.83399
318,33.0,22.181255
319,33.0,20.72741
320,33.0,20.27144
321,33.0,20.303806
322,33.0,20.52552
323,33.0,20.766916
324,33.0,22.34088
325,33.0,20.63346
326,33.0,20.102562
327,33.0,20.19058
328,33.0,20.451675
329,33.0,20.747732
330,33.0,22.674225
331,33.0,20.75801
332,33.0,20.145666
333,33.0,20.215252
334,33.0,20.509052
335,33.0,20.840302
336,33.0,23.111977
337,33.0,21.018837
338,33.0,20.32108
339,33.0,20.374249
340,33.0,20.677216
341,33.0,21.020758
342,33.0,23.421124
343,33.0,21.14884
344,33.0,20.431839
345,33.0,20.490211
346,33.0,20.803776
347,33.0,21.163464
348,33.0,23.567814
349,33.0,21.229572
350,33.0,20.535583
351,33.0,20.609257
352,33.0,20.940788
353,33.0,21.293095
354,33.0,23.66986
355,33.0,21.289337
356,33.0,20.625656
357,33.0,20.72723
358,33.0,21.057775
359,33.0,21.415321
360,33.0,23.760721
361,33.0,21.34646
362,33.0,20.724178
363,33.0,20.834892
364,33.0,21.17677
365,33.0,21.54773
366,33.0,23.853117
367,33.0,21.419594
368,33.0,20.81722
369,33.0,20.9491
370,33.0,21.312572
371,33.0,21.694134
372,33.0,23.962234
373,33.0,21.483345
374,33.0,20.91464
375,33.0,21.081486
376,33.0,21.465607
377,33.0,21.875338
378,33.0,24.066986
379,33.0,21.57179
380,33.0,21.049538
381,33.0,21.245289
382,33.0,21.66111
383,33.0,22.11409
384,33.0,24.17016
385,33.0,21.687618
386,33.0,21.201817
387,33.0,21.437832
388,33.0,21.903473
389,33.0,22.399872
390,33.0,24.359451
391,33.0,21.88105
392,33.0,21.445852
393,33.0,21.726042
394,33.0,22.231346
395,33.0,22.757965
396,33.0,24.542992
397,33.0,22.109406
398,33.0,21.730553
399,33.0,22.057552
400,33.0,22.596409
401,33.0,23.109566
402,33.0,24.73857
403,33.0,22.390417
404,33.0,22.07037
405,33.0,22.437048
406,33.0,22.97448
407,33.0,23.477348
408,33.0,24.915804
409,33.0,22.680283
410,33.0,22.420807
411,33.0,22.81556
412,33.0,23.350437
413,33.0,23.82304
414,33.0,25.049957
415,33.0,22.935549
416,33.0,22.73388
417,33.0,23.154459
418,33.0,23.67411
419,33.0,24.119724
420,33.0,25.142765
421,33.0,23.127964
422,33.0,22.978313
423,33.0,23.419533
424,33.0,23.930553
425,33.0,24.356848
426,33.0,25.232244
427,33.0,23.302914
428,33.0,23.207853
429,33.0,23.66384
430,33.0,24.163982
431,33.0,24.569725
432,33.0,25.298471
433,33.0,23.418777
434,33.0,23.367512
435,33.0,23.841255
436,33.0,24.339928
437,33.0,20.27095
438,33.0,25.342335
439,33.0,23.50272
440,33.0,23.49515
441,33.0,23.991783
442,33.0,20.261578
443,33.0,23.882317
444,33.0,25.368694
445,33.0,23.56002
446,33.0,23.604977
447,33.0,20.250065
448,33.0,23.874294
449,33.0,24.167778
450,33.0,25.380516
451,33.0,23.614563
452,33.0,20.241299
453,33.0,23.858261
454,33.0,24.187294
455,33.0,24.481174
456,33.0,25.390009
457,33.0,20.24514
458,33.0,23.731724
459,33.0,24.100033
460,33.0,24.466553
461,33.0,24.68988
462,33.0,20.347
463,33.0,22.759478
464,33.0,23.249735
465,33.0,23.864367
466,33.0,24.300266
467,33.0,24.586641
468,33.0,25.403337
469,33.0,23.739079
470,33.0,23.908623
471,33.0,24.403225
472,33.0,24.774681
473,33.0,24.995926
474,33.0,25.450796
475,33.0,23.77866
476,33.0,23.95816
477,33.0,24.43999
478,33.0,24.787552
479,33.0,24.98425
480,33.0,25.477068
481,33.0,23.824566
482,33.0,24.011059
483,33.0,24.47654
484,33.0,24.79742
485,33.0,24.96878
486,33.0,25.511917
487,33.0,23.877619
488,33.0,24.068186
489,33.0,24.515295
490,33.0,24.808727
491,33.0,24.953957
492,33.0,25.550959
493,33.0,23.938774
494,33.0,24.131723
495,33.0,24.557686
496,33.0,24.821861
497,33.0,24.939198
498,33.0,25.594252
499,33.0,24.0093
500,33.0,24.203339
501,33.0,24.604252
502,33.0,24.836315
503,33.0,24.92703
504,33.0,25.64238
505,33.0,24.090904
506,33.0,24.283989
507,33.0,24.654333
508,33.0,24.850819
509,33.0,24.879623
510,33.0,25.696495
511,33.0,24.184532
512,33.0,24.373158
513,33.0,24.698948
514,33.0,24.834742
515,33.0,24.861645
516,33.0,25.756996
517,33.0,24.28736
518,33.0,24.447937
519,33.0,24.719963
520,33.0,24.84225
521,33.0,24.829327
522,33.0,25.824047
523,33.0,24.355946
524,33.0,24.511631
525,33.0,24.757235
526,33.0,24.834724
527,33.0,24.775278
528,33.0,25.865532
529,33.0,24.480625
530,33.0,24.614214
531,33.0,24.79881
532,33.0,24.81535
533,33.0,24.715742
534,33.0,25.967337
535,33.0,24.630081
536,33.0,24.738255
537,33.0,24.841131
538,33.0,24.802067
539,33.0,24.66016
540,33.0,26.048252
541,33.0,24.744534
542,33.0,24.812382
543,33.0,24.84489
544,33.0,24.757324
545,33.0,24.581764
546,33.0,26.120049
